,Breed,Age (Years),Weight (kg),Color,Gender,ID
0,Egyptian Mau,12,7,White,Male,181
1,Scottish Fold,17,8,Tortoiseshell,Male,907
2,Sphynx,9,9,Orange,Male,732
3,Oriental,6,7,Gray,Female,464
4,Savannah,14,7,Tortoiseshell,Female,451
5,Oriental,1,6,Black,Male,613
6,Balinese,14,4,Blue,Female,856
7,Savannah,11,9,Red,Female,98
8,Munchkin,6,8,Brown,Female,348
9,Manx,2,8,Calico,Male,796
10,Russian Blue,6,5,Sable,Male,743
11,Cornish Rex,18,2,Red,Female,693
12,Persian,2,6,White,Female,655
13,Birman,16,4,Brown,Male,815
14,Ragdoll,16,2,Cream,Male,298
15,Chartreux,7,9,Bicolor,Male,118
16,Oriental,12,4,Red,Male,162
17,Ragdoll,3,6,Pointed,Female,597
18,Burmese,3,2,Calico,Male,500
19,Abyssinian,19,7,Tortoiseshell,Male,630
20,Sphynx,11,4,Tortoiseshell,Male,818
21,Manx,17,8,White,Female,507
22,American Shorthair,7,6,Cream,Female,970
23,Ragdoll,8,9,Calico,Male,112
24,Savannah,13,5,Gray,Male,372
25,Exotic Shorthair,1,8,Bicolor,Female,705
26,Munchkin,5,6,Red,Female,725
27,Manx,13,5,Tabby,Male,802
28,Chartreux,2,6,Pointed,Male,797
29,Oriental,18,4,Calico,Female,573
30,Turkish Angora,6,8,Calico,Male,658
31,British Shorthair,19,2,Sable,Female,251
32,Himalayan,18,4,Red,Male,158
33,Singapura,17,8,Black,Female,485
34,Norwegian Forest,19,2,Brown,Female,72
35,Tonkinese,8,2,Tortoiseshell,Female,212
36,Balinese,4,7,Tortoiseshell,Female,111
37,Bengal,14,7,White,Male,523
38,Exotic Shorthair,16,7,Black,Female,750
39,Himalayan,16,4,Cream,Male,553
40,Siberian,17,4,Pointed,Female,611
41,Abyssinian,10,3,Bicolor,Male,376
42,Singapura,16,6,Gray,Male,488
43,Devon Rex,3,7,Bicolor,Female,704
44,Exotic Shorthair,13,5,Tortoiseshell,Female,282
45,Chartreux,4,5,White,Male,228
46,Abyssinian,16,7,Red,Female,593
47,Ocicat,14,2,Gray,Female,634
