Season,Name,Age,Hometown,Occupation
1,Alex Michel,31,"Charlottesville, Virginia",management consultant
2,Aaron Buerge,28,"Butler, Missouri",Banker
3,,,,
4,,,,
5,Jesse Palmer,25,"Nepean, Ontario",Football Player
6,,,,
7,,,,
8,,,,
9,Lorenzo Borghese,34,"Milan, Italy",Cosmetics entrepreneur
10,Andy Baldwin,30,"Lancaster, Pennsylvania",US Navy Officer
11,Brad Womack,34,"Austin, Texas",Bar Owner
12,Matt Grant,27,"London, Uk",Global Financer
13,Jason Mesnick,32,"Kirkland, Washington",Realtor
14,Jake Pavelka,31,"Dallas, Texas",Pilot
15,Brad Womack,38,"Austin, Texas",Bar Owner
16,Ben Flajnik,29,"Sonoma, California",Winemaker
17,Sean Lowe,26,"Dallas, Texas",Football Player
18,Juan Pablo Galavis,32,"Miami, Florida",Soccer player
19,Chris Soules,33,"Arlington, Iowa",Farmer
20,Ben Higgins,26,"Warsaw, Indiana",Software Salesman
21,Nick Viall,36,"Waukesha, Wisconsin",Software Sales Executive
22,Arie Luyendyk Jr.,36,"Scottsdale, Arizona",race car driver
23,Colton Underwood,26,"Washington, Illinois",professional football player
24,Peter Weber,28,"Westlake Village, California",Delta Air Lines
25,Matt James,28,"Raleigh, North Carolina",real estate broker
26,Clayton Echard,28,"Eureka, Missouri",medical sales
27,Zach Shallcross,26,"Anaheim Hills, California",sales executive
28,Joey Graziadei,28,"Royersford, Pennsylvania",tennis player
29,Grant Ellis,30,"Newark, New Jersey",day trader
