Season,Name,Age,Hometown,Occupation,Outcome
1,Amanda Marsh,23,"Chanute, Kansas",Event Planner,Winner
1,Trista Rehn,29,"St. Louis, Missouri",Miami Heat Dancer,Runner-up
1,Shannon Oliver,24,"Dallas, Texas",Financial Management Consultant,Week 5
1,Kimberly Karels,24,"Tempe, Arizona",Nanny,Week 4
1,Cathy Grimes,22,"Terre Haute, Indiana",Graduate Student,Week 3
1,Christina Stencil,28,"Bonita, California",Attorney,Week 3
1,LaNease Adams,23,"Playa Del Rey, California",Actress,Week 3
1,Rhonda Rittenhouse,28,"Woodward, Oklahoma",Commercial Real Estate Agent,Week 3
1,Alexa Jurgielewicz,27,"Beverly Hills, California",Special Ed. Teacher,Week 2
1,Amy Anzel,28,"Yonkers, New York",Production Coordinator,Week 2
1,Angela Lowery,25,"Avondale, Arizona",Hooters Waitress,Week 2
1,Angelique Madrid,27,"Burbank, California",Actress,Week 2
1,Katie Sapienza,23,"Malden, Massachusetts",Power Tool Sales Rep.,Week 2
1,Melissa Reese,25,"Tempe, Arizona",Photographer,Week 2
1,Tina Chen,27,"Plano, Texas",Graduate Student,Week 2
1,Amber Johnson,29,"Los Angeles, California",Business Development Director,Week 1
1,Daniela Ferdico,30,"Seattle, Washington",Neuropsychologist,Week 1
1,Denise Kellaher,30,"Honolulu, Hawaii",Doctor,Week 1
1,Jackie Hucko,22,"Pittsburgh, Pennsylvania",Bar Manager,Week 1
1,Jill Gosser,31,"Chicago, Illinois",Retail Manager,Week 1
1,Kristina Jenkins,27,"Chelsea, New York",Advertising Executive,Week 1
1,Lisa Gold,29,"Dallas, Texas",Attorney,Week 1
1,Paula Oliveira,24,"Swansea, Massachusetts",Insurance Representative,Week 1
1,Rachel Lanzilotto,29,"Eastchester, New York",6th Grade Teacher,Week 1
1,Wendi Plotnik,26,"Dallas, Texas",Technology Specialist,Week 1
2,Helene Eksterowicz,27,"Gloucester, New Jersey",School Psychologist,Winner
2,Brooke Smith,22,"Albertville, Alabama",College Student,Runner-up
2,Gwen Gioia,31,"Philadelphia, Pennsylvania",Executive Recruiter,Week 6
2,Angela Vaught,27,"Kansas City, Missouri",Registered Nurse,Week 5
2,Hayley Crittenden,28,"Lake Oswego, Oregon",Retail Manager,Week 4
2,Heather Cranford,30,"Dallas, Texas",Flight Attendant,Week 4
2,Christi Weible,23,"Boise, Idaho",Assistant Financial Advisor,Week 3
2,Heather Campion,24,"Walnut Creek, California",Marriage Therapy Trainee,Week 3
2,Kyla Dickerson,22,"Midvale, Utah",Airline Supervisor,Week 3
2,Shannon Fries,26,"North Lindenhurst, New York",Graphic Artist,Week 3
2,Dana Norris,24,"Beverly Hills, California",Radio Sales,Week 2
2,Erin Lulevitch,25,"West Chester, Pennsylvania",Publications Quality Control,Week 2
2,Suzanne Freeman,33,"Redondo Beach, California",Flight Attendant,Week 2
2,Frances Dinglasan,30,"San Francisco, California",Strategic Planning Analyst,Week 2 (Quit)
2,Anindita Dutta,27,"Brooklyn, New York",Attorney,Week 2 (Quit)
2,Amber West,26,"Chapel Hill, North Carolina",Psychologist,Week 1
2,Camille Langfield,29,"Sherman Oaks, California",Actress,Week 1
2,Cari,29,"Granite City, Illinois",3rd Grade Teacher,Week 1
2,Christy,24,"Avondale, Arizona",Radiological Technologist,Week 1
2,Erin A.,24,"Houston, Texas",Interior Designer,Week 1
2,Fatima Rivas,22,"Long Beach, California",College Student,Week 1
2,Liangy Fernandez,30,"Coral Gables, Florida",Paralegal,Week 1
2,Lori Todd,26,"Dallas, Texas",Former NBA Cheerleader,Week 1
2,Merrilee Donohue,28,"Forked River, New Jersey",1st Grade Teacher,Week 1
2,Suzi Reid,28,"Richmond, Virginia",Communications Specialist,Week 1
3,Alex Michel,7,"March 25, 2002(2002-03-25)","April 25, 2002(2002-04-25)",—
