customer_id,ad_type,ad_medium,ad_response,items_purchased,drinks_purchased
3226,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'cinnamon twists', 'steak garlic nacho fries', 'mexican pizza', 'soft taco']","['gatorade', 'mug root beer', 'baja blast', 'diet pepsi', 'starry', 'mug root beer']"
5217,DISCOUNT-50%,15 sec YouTube ad,False,"['crunchy taco', 'cheesy bean and rice burrito']","['gatorade', 'diet pepsi']"
5247,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec YouTube ad,True,"['steak garlic nacho fries', 'cheesy gordita crunch', 'cheesy gordita crunch', 'beefy 5 layer burrito', 'crunchwrap supreme', 'cinnamon twists', 'nachos bellgrande', 'spicy potato soft taco', 'crunchwrap supreme']","['mountain dew', 'starry']"
7793,DISCOUNT-5%,30 sec Hulu commercial,False,"['crunchwrap supreme', 'cravings box', 'crunchwrap supreme']","['baja blast', 'brisk', 'mountain dew']"
5759,DISCOUNT-50%,15 sec YouTube ad,False,"['nachos bellgrande', 'crunchy taco']","['pepsi', 'diet pepsi']"
9639,DISCOUNT-10%,Instagram photo ad,False,"['nachos bellgrande', 'steak garlic nacho fries', 'chalupa supreme', 'chalupa supreme']","['mug root beer', 'mountain dew', 'mountain dew', 'pepsi']"
8326,DISCOUNT-10%,30 sec cable TV ad,False,"['crunchy taco', 'beefy 5 layer burrito', 'cravings box', 'cinnamon twists', 'nachos bellgrande', 'cheesy gordita crunch']","['pepsi', 'diet pepsi', 'brisk', 'mountain dew', 'starry', 'brisk']"
297,DISCOUNT-10%,Instagram photo ad,True,"['crunchy taco', 'mexican pizza']","['starry', 'gatorade']"
4355,BOGO - Baja Blast,15 sec YouTube ad,False,['chicken quesadilla'],['starry']
3444,DISCOUNT-10%,30 sec cable TV ad,True,"['cheesy bean and rice burrito', 'beefy 5 layer burrito', 'mexican pizza']","['starry', 'baja blast', 'baja blast']"
9236,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Instagram photo ad,False,"['crunchy taco', 'soft taco', 'soft taco', 'chalupa supreme', 'chalupa supreme']","['gatorade', 'mug root beer', 'mountain dew', 'gatorade', 'mountain dew']"
2401,BOGO - Baja Blast,Instagram photo ad,True,"['cheesy gordita crunch', 'cravings box', 'steak garlic nacho fries']","['baja blast', 'baja blast', 'mug root beer']"
