customer_id,state,sex,age,occupation,family_size,income
9167,MO,F,42.0,Food Service,1,40343
531,MI,F,36.0,Retail,4,41730
2265,CA,F,25.0,IT,0,84024
7550,VA,M,38.0,Food Service,2,38990
5334,MT,M,35.0,Food Service,1,33400
9168,FL,F,68.0,Retired,3,0
5322,WV,M,47.0,Unemployed,2,0
5405,NC,M,45.0,Other,3,70379
6785,NC,F,37.0,Retail,0,42700
9385,NE,M,20.0,IT,0,77982
5282,WA,F,52.0,IT,3,250000
3989,AL,M,46.0,Retail,1,47946
8007,UT,M,21.0,Government,0,57926
4610,NJ,M,25.0,Government,0,55555
1838,AL,M,33.0,Retail,4,36491
6829,IL,F,27.0,IT,1,97130
6628,AL,F,43.0,Food Service,2,38364
9065,TX,F,22.0,Student,1,14602
9145,TX,F,26.0,IT,2,89892
8527,FL,F,60.0,Government,0,136002
1423,WY,F,47.0,Government,0,98735
6552,NY,F,35.0,Education,1,58071
1051,TX,M,29.0,Government,3,62024
6468,AZ,M,51.0,Retail,0,51776
3764,WY,M,23.0,Student,0,14379
1021,FL,F,65.0,Retired,4,0
8272,PA,F,26.0,Other,2,44625
5154,CA,F,23.0,Student,2,14177
3314,MS,F,41.0,Unemployed,1,0
1841,IL,F,30.0,Retail,1,37840
3620,NY,M,26.0,Government,2,62718
4377,GA,F,34.0,Education,1,57970
839,NV,M,28.0,Education,3,53109
2972,CA,F,22.0,Student,2,14038
6003,MT,F,43.0,Unemployed,3,0
9898,PA,F,34.0,Government,4,76490
8928,MI,M,27.0,Government,0,63492
821,IL,F,43.0,Unemployed,1,0
2716,FL,F,58.0,Healthcare,1,245374
5086,WI,F,28.0,Education,2,53657
722,CA,F,28.0,Government,1,66934
7902,OH,F,41.0,Food Service,1,36532
39,FL,F,65.0,Retired,3,0
5247,WV,M,31.0,IT,1,112766
3214,GA,M,36.0,Retail,5,35624
5446,LA,M,39.0,Retail,2,43296
7748,TX,F,26.0,Government,2,55987
1839,ID,M,31.0,Government,3,61823
616,CA,F,23.0,Government,1,61840
1176,LA,M,46.0,Other,1,73281
4882,TX,F,29.0,Retail,1,38669
1336,KY,F,30.0,Food Service,3,30210
4448,CA,F,31.0,Government,2,65282
6531,IL,F,40.0,IT,2,142428
8946,MN,M,44.0,Healthcare,1,134829
4283,OH,F,38.0,Food Service,3,32370
6673,MN,M,31.0,Healthcare,2,96134
2479,GA,F,51.0,Retail,1,51917
5116,CA,M,27.0,Retail,4,31233
605,NM,M,49.0,Retail,3,44654
3145,TX,M,25.0,Retail,1,31245
5942,NY,M,40.0,Other,1,64142
3581,TX,F,23.0,Student,1,13997
9252,HI,F,41.0,Retail,3,45413
5017,PA,F,43.0,Government,2,90299
3578,TX,F,22.0,Education,5,42090
7457,MI,M,33.0,Government,4,70852
1639,IN,M,57.0,Government,1,118795
5241,MN,F,44.0,Food Service,2,36043
6665,NC,F,42.0,IT,2,159601
1422,MI,F,60.0,Government,1,127023
2927,DE,M,35.0,Healthcare,3,108091
3127,CA,F,19.0,Student,1,13674
8502,UT,F,27.0,Government,1,57760
5168,NM,F,50.0,Education,2,83337
5258,TX,M,22.0,Student,1,14782
9968,WV,M,44.0,Retail,1,45866
7602,UT,F,30.0,Government,1,67085
8957,AR,M,41.0,Food Service,1,38310
4520,IA,M,40.0,IT,4,154690
5685,IN,F,59.0,Government,3,126727
3868,NC,F,24.0,Government,2,52364
2537,NH,F,38.0,Other,0,66067
4934,WV,M,33.0,Healthcare,2,86231
6891,NJ,M,54.0,IT,3,250000
1230,KY,M,42.0,Government,0,93994
4239,CO,F,44.0,Healthcare,3,149051
5754,PA,F,48.0,Government,1,110192
147,IN,M,37.0,Other,3,60506
1620,FL,M,62.0,Government,3,137610
3814,IL,F,22.0,Student,1,14663
8487,WY,M,34.0,Retail,3,40015
1882,AR,M,60.0,IT,4,250000
28,FL,F,65.0,Retired,2,0
2819,IN,F,45.0,Food Service,3,42719
1148,WV,F,31.0,Healthcare,5,86552
6713,NH,M,36.0,Food Service,0,32331
6344,CA,M,33.0,Other,2,59994
5002,MT,F,37.0,Healthcare,1,109201
5861,GA,F,44.0,Other,1,64300
495,OR,F,51.0,Healthcare,2,160470
7509,CA,M,32.0,Food Service,3,29849
1977,FL,F,69.0,Retired,3,0
